no,code,name,type,gu,gujuso,x,y,room,year,old,area,resident,ave_area,area,a1,a2,a3,a4,a5,a6,a7,a8,a9
0,20162,하계5단지,영구,노원구,노원구 섬밭로 201 ,37.63805,127.0646,640,1989-11-10,31,28,영구,28,28,,,,,,,,,
1,20163,성산,영구,마포구,마포구 월드컵로 207 ,37.5662883,126.8983254,1807,1991-05-31,29,"23,33,39",영구,32,23,33,39,,,,,,,
2,20164,면목,영구,중랑구,중랑구 용마산로 228 ,37.5997955,127.1004166,905,1991-09-30,29,"23,33,39",영구,32,23,33,39,,,,,,,
3,20166,중계4단지,공공,노원구,노원구 노원로19길 31 ,37.64459,127.06833,1979,1991-11-30,29,"33,39,49",공공,40,33,39,49,,,,,,,
4,20165,중계3단지,영구,노원구,노원구 노원로 331 ,37.621696,127.0871691,2619,1991-11-30,29,"23,33,39",영구,32,23,33,39,,,,,,,
5,20167,대치1단지,영구,강남구,강남구 개포로109길 9 ,37.4937374,127.0767334,1623,1991-11-15,29,"23,33,39",영구,32,23,33,39,,,,,,,
6,20168,수서1단지,"영구,공공혼합",강남구,강남구 양재대로55길 10 ,37.4920557,127.087615,984,1992-10-30,28,"25,33","영구,공공혼합",29,25,33,,,,,,,,
7,20168,수서1단지,"영구,공공혼합",강남구,강남구 양재대로55길 10 ,37.4920557,127.087615,1230,1992-10-30,28,"33,39,49","영구,공공혼합",40,33,39,49,,,,,,,
8,20173,가양9단지(임대),공공,강서구,강서구 허준로 224 ,37.5652368,126.8535763,914,1992-10-15,28,"33,39,49",공공,40,33,39,49,,,,,,,
9,20170,가양4단지,영구,강서구,강서구 양천로57길 37 ,37.5643317,126.852979,1998,1992-10-15,28,"23,33,39",영구,32,23,33,39,,,,,,,
10,20172,가양8단지,공공,강서구,강서구 허준로 176 ,37.5652368,126.8535763,1110,1992-10-15,28,"33,39,49",공공,40,33,39,49,,,,,,,
11,20169,수서6단지,영구,강남구,강남구 광평로56길 11 ,37.4871689,127.1035395,1508,1992-11-14,28,"23,33,39",영구,32,23,33,39,,,,,,,
12,20171,가양5단지,영구,강서구,강서구 양천로57길 36 ,37.5643317,126.852979,2411,1992-10-15,28,"23,33,39",영구,32,23,33,39,,,,,,,
13,70101,신림동부(신림5),재개발,관악구,관악구 신원로 26 ,37.4808827,126.9277775,96,1993-07-19,27,27,재개발,27,27,,,,,,,,,
14,20174,방화2-1단지,영구,강서구,강서구 방화대로48길 40 ,37.576,126.81837,1563,1993-09-30,27,"23,33,39",영구,32,23,33,39,,,,,,,
15,70102,상도삼호(상도5),재개발,동작구,동작구 상도로 407 ,37.5051281,126.9450798,221,1994-02-25,27,33,재개발,33,33,,,,,,,,,
16,20177,방화11단지,영구,강서구,강서구 개화동로21길 4 ,37.5719813,126.8060799,1065,1994-04-30,26,"23,33,39",영구,32,23,33,39,,,,,,,
17,70103,홍제유원(홍제1),재개발,서대문구,서대문구 세검정로 134 ,37.5965051,126.9536471,150,1994-08-01,26,28,재개발,28,28,,,,,,,,,
18,20175,방화6단지,"영구,공공혼합",강서구,강서구 금낭화로23길 25 ,37.5787382,126.8127989,404,1994-07-15,26,"24,29,39","영구,공공혼합",31,24,29,39,,,,,,,
19,20175,방화6단지,"영구,공공혼합",강서구,강서구 금낭화로23길 25 ,37.5787382,126.8127989,404,1994-07-15,26,"24,29,39","영구,공공혼합",31,24,29,39,,,,,,,
20,20178,공릉1단지,영구,노원구,노원구 동일로 1127 ,37.592654,127.0801782,1395,1994-11-30,26,"23,33,39",영구,32,23,33,39,,,,,,,
21,30118,신대방(임대),주거환경,동작구,동작구 보라매로 83 ,37.4992146,126.9281665,48,1995-04-28,25,33,주거환경,33,33,,,,,,,,,
22,70104,신정삼성(신정6-2),재개발,양천구,양천구 신목로 5 ,37.5189377,126.8733639,506,1995-05-26,25,32,재개발,32,32,,,,,,,,,
23,70105,홍은벽산(홍은5-3),재개발,서대문구,서대문구 세검정로1길 95 ,37.5920429,126.9430281,180,1995-06-01,25,30,재개발,30,30,,,,,,,,,
24,20179,월계사슴1단지,영구,노원구,노원구 월계로 372 ,37.6245703,127.0502457,1372,1995-05-30,25,"23,33,39",영구,32,23,33,39,,,,,,,
25,30119,마천대성(임대),주거환경,송파구,송파구 성내천로34길 8 ,37.4979158,127.1538857,25,1995-06-26,25,33,주거환경,33,33,,,,,,,,,
26,20180,월계사슴2단지,공공,노원구,노원구 월계로55길 16 ,37.63291,127.05964,775,1995-05-30,25,39,공공,39,39,,,,,,,,,
27,20181,신정양천,공공,양천구,양천구 목동로3길 57,37.5133314,126.86769,2998,1995-10-17,25,"23,39,49",공공,37,23,39,49,,,,,,,
28,20184,신내12단지,영구,중랑구,중랑구 봉화산로 153 ,37.6015515,127.0768792,1000,1995-11-20,25,28,영구,28,28,,,,,,,,,
29,20176,방화9단지,공공,강서구,강서구 양천로11길 57 ,37.5738658,126.8089376,250,1995-09-30,25,"33,39",공공,36,33,39,,,,,,,,
30,70106,북가좌삼호(북가좌2),재개발,서대문구,서대문구 거북골로 154 ,37.57658,126.91136,267,1995-09-01,25,31,재개발,31,31,,,,,,,,,
31,20183,신내10단지,"영구,공공혼합",중랑구,중랑구 신내로 115 ,37.6000642,127.0970247,906,1996-02-15,25,"24,30,39","영구,공공혼합",31,24,30,39,,,,,,,
32,20183,신내10단지,"영구,공공혼합",중랑구,중랑구 신내로 115 ,37.6000642,127.0970247,906,1996-02-15,25,"24,30,39","영구,공공혼합",31,24,30,39,,,,,,,
33,70107,청계벽산(하왕3),재개발,성동구,성동구 무학로 50 ,37.5647517,127.0300761,510,1995-12-20,25,26,재개발,26,26,,,,,,,,,
34,20182,신내9단지(임대),공공,중랑구,중랑구 신내로 127 ,37.6000642,127.0970247,335,1996-05-30,24,39,공공,39,39,,,,,,,,,
35,30120,시흥목련(임대),주거환경,금천구,금천구 금하로3길 26 ,37.4542868,126.8971305,105,1996-07-31,24,30,주거환경,30,30,,,,,,,,,
36,30121,도봉서원(임대),주거환경,도봉구,도봉구 마들로 684-20 ,37.6575431,127.0520736,734,1996-08-31,24,"23,24",주거환경,24,23,24,,,,,,,,
37,70108,옥수극동그린(옥수5-2),재개발,성동구,성동구 독서당로 175 ,37.5481544,127.0237663,171,1996-02-26,25,27,재개발,27,27,,,,,,,,,
38,70109,동소문한진,재개발,성북구,성북구 성북로4길 52 ,37.5955566,127.0116847,580,1996-11-01,24,32,재개발,32,32,,,,,,,,,
39,70191,목동현대B,재개발,양천구,양천구 신목로 10 ,37.5254377,126.876817,564,1996-11-06,24,32,재개발,32,32,,,,,,,,,
40,20185,거여6단지,공공,송파구,송파구 양산로2길 38 ,37.4887554,127.145968,660,1997-04-10,23,39,공공,39,39,,,,,,,,,
41,70111,오금현대백조(오금2),재개발,송파구,송파구 양재대로72길 20 ,37.5078151,127.1318179,153,1997-01-24,24,31,재개발,31,31,,,,,,,,,
42,70112,천호삼성(천호4),재개발,강동구,강동구 성안로25길 15 ,37.5385249,127.1337148,247,1997-05-26,23,32,재개발,32,32,,,,,,,,,
43,70113,청량리한신(청량리4),재개발,동대문구,동대문구 제기로 129 ,37.5864678,127.0344522,610,1997-04-21,23,32,재개발,32,32,,,,,,,,,
44,30123,염리상록(임대),주거환경,마포구,마포구 숭문길 106 ,37.5493794,126.9458001,178,1997-08-05,23,27,주거환경,27,27,,,,,,,,,
45,70114,학여울청구A(하계2),재개발,노원구,노원구 동일로207길 186 ,37.6384439,127.0609387,486,1997-05-31,23,32,재개발,32,32,,,,,,,,,
46,70116,오류동부골든(오류1),재개발,구로구,구로구 고척로 49 ,37.4994278,126.8414407,304,1998-09-04,22,32,재개발,32,32,,,,,,,,,
47,70115,전농동아(답십리6-4),재개발,동대문구,동대문구 서울시립대로 31 ,37.5750243,127.0467517,220,1997-12-22,23,32,재개발,32,32,,,,,,,,,
48,30122,흑석청호(임대),주거환경,동작구,동작구 서달로2길 29 ,37.5004034,126.9625414,170,1997-09-30,23,34,주거환경,34,34,,,,,,,,,
49,70117,상도건영(본동2-2),재개발,동작구,동작구 만양로 26 ,37.5096477,126.9455378,552,1997-09-12,23,32,재개발,32,32,,,,,,,,,
50,70118,옥수하이츠(옥수8),재개발,성동구,성동구 한림말길 50 ,37.54072,127.0141055,238,1997-09-05,23,30,재개발,30,30,,,,,,,,,
51,70119,창전삼성,재개발,마포구,마포구 서강로 95 ,37.5501244,126.9323561,311,1998-06-24,22,32,재개발,32,32,,,,,,,,,
52,70120,천호동아코아(천호5),재개발,강동구,강동구 구천면로 189 ,37.5500883,127.1466717,64,1997-11-01,23,29,재개발,29,29,,,,,,,,,
53,79101,목동2차우성(서울리츠2호),재개발,양천구,양천구 목동남로4길 6-46 ,37.5087299,126.8661219,1140,1998-02-07,23,32,재개발,32,32,,,,,,,,,
54,70123,인왕산현대(홍제4),재개발,서대문구,서대문구 통일로34길 46 ,37.5857842,126.9494483,246,1998-02-13,23,32,재개발,32,32,,,,,,,,,
55,70121,관악벽산타운(시흥2-1),재개발,금천구,금천구 금하로 793 ,37.4527652,126.9187947,564,1998-02-25,23,32,재개발,32,32,,,,,,,,,
56,70124,홍제원현대(홍제3),재개발,서대문구,서대문구 통일로34길 43 ,37.5857842,126.9494483,482,1998-03-14,22,32,재개발,32,32,,,,,,,,,
57,20186,월계청백1단지,공공,노원구,노원구 초안산로 89 ,37.63412,127.05217,1147,1998-06-30,22,"33,39",공공,36,33,39,,,,,,,,
58,70125,독립문극동(현저4),재개발,서대문구,서대문구 독립문공원길 17 ,37.5720155,126.9563562,600,1998-07-15,22,27,재개발,27,27,,,,,,,,,
59,20187,상계은빛3단지,공공,노원구,노원구 동일로 250길 17 ,37.68300838,127.0566861,900,1998-09-01,22,"33,39",공공,36,33,39,,,,,,,,
60,30124,봉천인헌(임대),주거환경,관악구,관악구 낙성대로15길 66 ,37.4683419,126.9592112,117,1998-10-14,22,35,주거환경,35,35,,,,,,,,,
61,70127,남가좌현대(남가좌6),재개발,서대문구,서대문구 가재울로 45 ,37.5753208,126.9195587,330,1998-03-31,22,32,재개발,32,32,,,,,,,,,
62,70126,종암SK,재개발,성북구,성북구 종암로24가길 53 ,37.6008397,127.0379633,465,1998-10-20,22,26,재개발,26,26,,,,,,,,,
63,70129,도화현대2차,재개발,마포구,마포구 새창로8길 72 ,37.5372751,126.9523464,793,1998-10-14,22,27,재개발,27,27,,,,,,,,,
64,70128,돈암풍림(돈암3-3),재개발,성북구,성북구 북악산로 898 ,37.5912385,127.0307626,309,1998-10-31,22,32,재개발,32,32,,,,,,,,,
65,70131,구로두산(구로6),재개발,구로구,구로구 도림로 59 ,37.4895268,126.8915208,442,1998-11-30,22,27,재개발,27,27,,,,,,,,,
66,70133,양지대림2(중계4-2),재개발,노원구,노원구 덕릉로77길 27 ,37.6551888,127.0719332,331,1999-03-16,21,29,재개발,29,29,,,,,,,,,
67,70130,사당신동아(사당5),재개발,동작구,동작구 동작대로29길 118 ,37.4912299,126.9765472,110,1998-11-20,22,33,재개발,33,33,,,,,,,,,
68,70132,양지대림1(중계4-1),재개발,노원구,노원구 덕릉로73길 31 ,37.6521838,127.0720756,468,1999-02-05,22,30,재개발,30,30,,,,,,,,,
69,70134,옥수삼성(옥수9),재개발,성동구,성동구 독서당로 218 ,37.5481544,127.0237663,330,1999-04-20,21,32,재개발,32,32,,,,,,,,,
70,30125,봉천신봉(임대),주거환경,관악구,관악구 양녕로6나길 18 ,37.485093,126.9493046,150,1999-04-18,21,35,주거환경,35,35,,,,,,,,,
71,70135,행당대림(하왕2-1),재개발,성동구,성동구 행당로 79 ,37.5580603,127.0316639,1005,1999-04-23,21,32,재개발,32,32,,,,,,,,,
72,70136,돈암삼성(돈암3-2),재개발,성북구,성북구 동소문로34길 24 ,37.5980744,127.0219384,736,1999-04-30,21,32,재개발,32,32,,,,,,,,,
73,30128,신기목련(임대),주거환경,영등포구,영등포구 신길로42가길 34 ,37.5092145,126.9127655,105,1999-06-05,21,34,주거환경,34,34,,,,,,,,,
74,30127,신림초원(임대),주거환경,관악구,관악구 미성5길 40 ,37.4742086,126.9145524,63,1999-06-30,21,33,주거환경,33,33,,,,,,,,,
75,70137,행당한진(금호1-6),재개발,성동구,성동구 행당로 82 ,37.5580603,127.0316639,728,1999-05-14,21,32,재개발,32,32,,,,,,,,,
76,70138,답십리동아(답십리8),재개발,동대문구,동대문구 한천로11길 10 ,37.5671421,127.0588169,492,1999-07-16,21,31,재개발,31,31,,,,,,,,,
77,30126,도봉서광(임대),주거환경,도봉구,도봉구 마들로 770 ,37.6575431,127.0520736,45,1999-08-24,21,25,주거환경,25,25,,,,,,,,,
78,20188,공릉2-6단지,공공,노원구,노원구 화랑로51길 81 ,37.625164,127.0886,691,1999-07-29,21,"33,39",공공,36,33,39,,,,,,,,
79,70140,약수하이츠동아(신당4),재개발,중구,중구 동호로10길 30 ,37.5558258,127.0125472,684,1999-07-29,21,32,재개발,32,32,,,,,,,,,
80,70141,봉천동아(봉천2-2),재개발,관악구,관악구 관악로37길 20 ,37.4885441,126.9568277,829,1999-08-30,21,32,재개발,32,32,,,,,,,,,
81,70139,상계불암대림(상계7),재개발,노원구,노원구 덕릉로94가길 41 ,37.6642452,127.0783838,206,1999-12-01,21,33,재개발,33,33,,,,,,,,,
82,30129,양평상록수(임대),주거환경,영등포구,영등포구 영등포로 17 ,37.5184309,126.9126393,70,1999-10-30,21,28,주거환경,28,28,,,,,,,,,
83,70142,공덕삼성(공덕1),재개발,마포구,마포구 마포대로 115-8 ,37.5403189,126.9471222,226,1999-10-16,21,32,재개발,32,32,,,,,,,,,
84,70143,마포태영(대흥태영),재개발,마포구,마포구 독막로 266 ,37.5451471,126.9445152,568,1999-11-20,21,32,재개발,32,32,,,,,,,,,
85,70145,무악현대(무악1),재개발,종로구,종로구 통일로 246-11 ,37.5695202,126.9630763,550,1999-11-01,21,32,재개발,32,32,,,,,,,,,
