gov,gu,name,school,type,juso,student,class,x,y
중부,종로구,연동유치원,유치원,사립,서울특별시 종로구 대학로 3길 9 ,16.5,2,37.57468038,127.0001518
서울시,서대문구,중앙여자고등학교,고등학교, 일반고, 서울특별시 서대문구 북아현로 11가길  7 ,32.9,29,37.56275698,126.9527839
성북,성북구,호산나유치원,유치원,사립,서울특별시 성북구 돌곶이로 22길 50,20,1,37.6113995,127.0608213
동작관악,관악구,나랑유치원,유치원,사립,서울 관악구 봉천로 33길 57  ,23.2,5,37.48564664,126.9437869
성북,성북구,용문중학교,중학교, 사립, 서울특별시 성북구 인촌로 17가길 ,27.9,15,37.58875508,127.0243981
강남,강남구,서울세명초등학교병설유치원,유치원,공립,서울특별시 강남구 자곡로55 ,20.4,5,37.46843953,127.0909827
성북,성북구,빛나라유치원,유치원,사립,서울특별시 성북구 종암로 9길 78,19.5,6,37.59944346,127.0327831
성북,강북구,새롬유치원,유치원,사립,서울시 강북구 도봉로 34길  66,23,2,37.62649315,127.0322093
강서,양천구,광영유치원,유치원,사립,서울시 양천구 남부순환로  30길 17,14.2,5,37.53859731,126.8247182
성북,성북구,광운유치원,유치원,사립,서울시 성북구 장월로 42길 9 ,23.8,4,37.61913657,127.054157
성동광진,광진구,광장유치원,유치원,사립,서울특별시 광진구 광장로7길 17  ,26.3,3,37.54840266,127.1051243
북부,노원구,호암유치원,유치원,사립,서울특별시 노원구 동일로242길 66 ,26.5,2,37.67455966,127.0585232
성동광진,성동구,경동유치원,유치원,사립,서울특별시 성동구 금호로 100,28.3,6,37.55000406,127.0281159
서울시,성북구,용문고등학교,고등학교, 일반고, 서울특별시 성북구 인촌로17가길 46 ,30.9,36,37.58833848,127.0243489
북부,노원구,온누리유치원,유치원,사립,서울특별시 노원구 동일로227길 47 ,22.3,3,37.66918674,127.054178
북부,노원구,꿈동산유치원,유치원,사립,서울특별시 노원구 동일로227길 26 ,27.4,10,37.67023241,127.0517746
성북,강북구,금성유치원,유치원,사립,서울시 강북구 한천로 123길9,35,1,37.63730152,127.0308318
성북,강북구,새시대유치원,유치원,사립,서울 강북구 도봉로 97길-45,28.5,2,37.64269926,127.0269797
남부,구로구,동정성모유치원,유치원,사립,서울특별시 구로구 경인로 2길 11 ,26.7,7,37.48988103,126.8272749
성동광진,성동구,서울동호초등학교,초등학교, 공립,서울특별시 성동구 동호로5길 133 ,19.5,21,37.54643301,127.0101336
서울시,성동구,서울방송고등학교,고등학교, 특성화고(직업), 서울특별시 성동구 동호로5길 131 ,24.9,21,37.54740512,127.0103193
성북,성북구,성신유치원,유치원,사립,서울특별시 성북구  부문로 34다길 2,23.4,5,37.59219908,127.0211653
