,gov,gu,name,school,type,juso,x,y
0,BE_LiST23-0034,동대문구,서울시립대학교,일반대학,공립,서울 동대문구 서울시립대로 163 ,37.5840273,127.059042
1,BE_LiST23-0035,서대문구,서울여자간호대학교,전문대학(3년제),사립,서울 서대문구 홍제3동 서울여자간호대학,37.5974557,126.947491
2,BE_LiST23-0036,노원구,서울여자대학교,일반대학,사립,서울특별시 노원구 화랑로 621 서울여자대학교,37.6283202,127.0905073
3,BE_LiST23-0037,중랑구,서일대학교,전문대학(2년제),사립,서울 중랑구 서일대학길 22,37.58905,127.09675
4,BE_LiST23-0038,구로구,성공회대학교,일반대학,사립,서울 구로구 항동 성공회대학교,37.4872849,126.8258937
5,BE_LiST23-0039,종로구,성균관대학교,일반대학,사립,서울 종로구 명륜동3가 성균관대학교,37.58431,126.99755
6,BE_LiST23-0040,성북구,성신여자대학교,일반대학,사립,서울 성북구 동선동3가 성신여자대학교,37.59135585,127.0222074
7,BE_LiST23-0041,광진구,세종대학교,일반대학,사립,서울 광진구 군자동 세종대학교,37.5505485,127.0744388
8,BE_LiST23-0042,용산구,숙명여자대학교,일반대학,사립,서울 용산구 청파로47길 100 숙명여자대학교,37.5453844,126.9643169
9,BE_LiST23-0043,동작구,숭실대학교,일반대학,사립,서울 동작구 상도동 511 숭실대학교,37.49606245,126.9569498
10,BE_LiST23-0044,중구,숭의여자대학교,전문대학(2년제),사립,서울특별시 중구 소파로2길 10,37.5574448,126.9878648
11,BE_LiST23-0045,서대문구,연세대학교,일반대학,사립,서울 서대문구 신촌동 연세대학교,37.56591829,126.9385867
12,BE_LiST23-0046,서대문구,이화여자대학교,일반대학,사립,서울 서대문구 대현동 11-1 이화여자대학교,37.5643371,126.9468925
13,BE_LiST23-0047,노원구,인덕대학교,전문대학(2년제),사립,서울 노원구 초안산로 12,37.63118345,127.0544838
14,BE_LiST23-0048,광진구,장로회신학대학교,일반대학,사립,서울 광진구 광장로 5길 25-1,37.5502939,127.1042927
15,BE_LiST23-0049,종로구,적십자간호대학,전문대학(3년제),사립,서울 종로구 경교장길8,37.50512212,126.9571227
16,BE_LiST23-0050,동작구,중앙대학교 서울캠퍼스,일반대학,사립,서울 동작구 흑석로 84,37.50628585,126.957433
17,BE_LiST23-0051,동작구,총신대학교,일반대학,사립,서울 동작구 사당동 산31-3,37.4891789,126.9674991
18,BE_LiST23-0052,서대문구,추계예술대학교,일반대학,사립,서울 서대문구 북아현동 190-1 추계예술대학교,37.5624291,126.9532741
19,BE_LiST23-0053,종로구,한국방송통신대학교,방송통신대학,국립,서울 종로구 동숭동 한국방송통신대학교,37.57875545,127.0034462
20,BE_LiST23-0054,노원구,한국성서대학교,일반대학,사립,서울 노원구 상계7동 한국성서대학교,37.6486582,127.0642124
21,BE_LiST23-0055,성북구,한국예술종합학교,각종대학(대학),특별법국립,서울 성북구 석관동 ,37.60789015,127.0614852
22,BE_LiST23-0056,동대문구,한국외국어대학교,일반대학,사립,서울 동대문구 이문로 107,37.5971115,127.0584441
23,BE_LiST23-0057,송파구,한국체육대학교,일반대학,국립,서울 송파구 오륜동 한국체육대학교,37.51969795,127.1310792
24,BE_LiST23-0058,강서구,한국폴리텍 I 대학 서울강서캠퍼스,기능대학,사립,서울 강서구 화곡동 산60-1,37.5498935,126.8422675
25,BE_LiST23-0059,용산구,한국폴리텍Ⅰ대학 서울정수캠퍼스,기능대학,사립,서울 용산구 보광로 73,37.53011215,126.9965598
26,BE_LiST23-0060,성북구,한성대학교,일반대학,사립,서울 성북구 삼선동3가 389 한성대학교,37.5819969,127.010553
27,BE_LiST23-0061,성동구,한양대학교,일반대학,사립,서울특별시 성동구 왕십리로 222 ,37.5553482,127.0448248
28,BE_LiST23-0062,성동구,한양여자대학교,전문대학(2년제),사립,서울 성동구 행당동 살곶이길 200,37.55850315,127.0496311
29,BE_LiST23-0063,구로구,한영신학대학교,일반대학,사립,서울 구로구 경인로 290-42  한영신학대학교,37.49652406,126.8512616
30,BE_LiST23-0064,마포구,홍익대학교,일반대학,사립,서울특별시 마포구 와우산로 94,37.55035515,126.9254433
31,BE_LiST23-0001,서초구,가톨릭대학교,일반대학,사립,서울 서초구 반포동 505,37.5062092,127.023387
32,BE_LiST23-0002,종로구,가톨릭대학교,일반대학,사립,서울 종로구 창경궁로 296-12,37.5854724,127.004794
33,BE_LiST23-0003,서대문구,감리교신학대학교,일반대학,사립,서울 서대문구 냉천동 감리교신학대학,37.5675189,126.962223
34,BE_LiST23-0004,광진구,건국대학교,일반대학,사립,서울 광진구 화양동,37.54378895,127.0731624
35,BE_LiST23-0005,서대문구,경기대학교,일반대학,사립,서울 서대문구 경기대로9길 24 경기대학교,37.56482468,126.962422
36,BE_LiST23-0006,동대문구,경희대학교,일반대학,사립,서울 동대문구 회기동 경희대학교,37.59548219,127.0528041
37,BE_LiST23-0007,성북구,고려대학교,일반대학,사립,서울 성북구 안암동 고려대학교,37.59088399,127.0277451
38,BE_LiST23-0008,노원구,광운대학교,일반대학,사립,서울특별시 노원구 월계동 447-1,37.61976485,127.0597566
39,BE_LiST23-0009,성북구,국민대학교,일반대학,사립,서울 성북구 정릉3동 국민대학교,37.61147915,126.9964688
40,BE_LiST23-0010,강남구,국제예술대학,전공대학,사립,서울 강남구 논현동 79,37.5132615,127.0315625
41,BE_LiST23-0011,강서구,그리스도대학교,일반대학,사립,서울 강서구 화곡6동 그리스도대학교,37.5483704,126.8548081
42,BE_LiST23-0012,도봉구,덕성여자대학교,일반대학,사립,서울특별시 도봉구 삼양로 144길 33,37.650931,127.016908
43,BE_LiST23-0013,중구,동국대학교,일반대학,사립,서울 중구 필동3가 동국대학교,37.55822737,127.0001746
44,BE_LiST23-0014,성북구,동덕여자대학교,일반대학,사립,서울 성북구 하월곡2동 동덕여자대학교,37.6064518,127.0419322
