ID,LIST_ID,code,type,gu,x,y,room,old,resident,ave_area,SQ1,SQ2,SQ3,SQ4,Q1A1,Q1A2,Q1A3,Q1A4,Q1A5,Q1A6,Q1A7,Q1A8,Q2,Q3,Q4,Q5A,Q5B
1,3005961,53013,다가구,마포구,37.5544295,126.9024099,12,24,6,25.22583333,2,1,2,3,4,4,4,4,4,4,2,4,4,1,1,2,0
2,3001280,53003,다가구,강북구,37.6622213,127.013076,7,26,6,37.70428571,1,1,4,3,7,7,6,6,4,4,5,5,6,2,1,2,0
3,3005162,53011,다가구,동대문구,37.5711261,127.0317843,10,24,6,48.268,2,1,4,2,6,7,6,7,6,7,7,7,7,2,1,2,0
4,3006257,53014,다가구,서대문구,37.5815224,126.922577,7,23,11,51.43285714,2,1,4,3,4,7,7,7,4,1,4,7,7,1,1,1,1
5,3000684,53002,다가구,강동구,37.5417911,127.1357011,11,28,6,45.59909091,1,1,4,2,4,7,6,7,7,5,2,4,5,1,1,2,0
6,3004870,53010,다가구,도봉구,37.6600045,127.0384734,7,24,9,40.86857143,2,1,4,3,7,7,6,7,7,1,3,4,7,1,3,2,0
7,3009557,81302,도시형생활주택,강동구,37.5322766,127.1276494,14,5,1,29.64857143,1,2,4,2,5,5,7,7,5,7,5,5,7,2,2,1,1
8,3006315,53014,다가구,서대문구,37.5815224,126.922577,7,23,11,51.43285714,2,1,4,2,7,7,7,7,7,2,5,7,7,2,2,1,1
9,3006303,53014,다가구,서대문구,37.5815224,126.922577,7,23,11,51.43285714,2,1,2,2,7,7,7,5,3,7,3,3,5,1,3,2,0
10,3002979,53006,다가구,광진구,37.5396821,127.0664605,13,26,6,39.16153846,2,1,3,1,4,6,4,5,4,3,3,2,3,1,2,2,0
11,3008801,53022,다가구,은평구,37.5984975,126.9233785,7,26,3,47.23142857,2,1,4,2,7,7,6,6,2,3,7,7,6,2,2,2,0
12,3008075,53018,다가구,송파구,37.5029523,127.1069487,8,24,6,37.49625,2,1,4,2,5,6,5,6,6,5,5,6,6,2,2,2,0
13,3009359,53025,다가구,중랑구,37.6014695,127.1045849,13,29,6,34.97692308,2,1,4,3,6,7,6,7,7,5,4,6,6,2,3,2,0
14,3007683,53018,다가구,송파구,37.5029523,127.1069487,8,24,6,37.49625,1,1,4,2,7,7,7,7,7,4,7,7,7,2,3,2,0
15,3003674,53009,다가구,노원구,37.6147277,127.0633085,5,23,6,46.452,1,1,4,3,3,6,5,2,2,5,5,6,4,1,3,2,0
16,3001233,53003,다가구,강북구,37.6622213,127.013076,7,26,6,37.70428571,2,1,4,2,4,7,4,7,7,6,6,6,6,2,1,2,0
17,3009730,81302,도시형생활주택,강동구,37.5322766,127.1276494,14,5,1,29.64857143,2,1,2,2,5,6,5,6,6,3,4,5,5,2,2,1,1
18,3011403,81314,도시형생활주택,서대문구,37.5842888,126.9151895,24,7,2,16.35208333,2,2,4,2,6,7,6,6,5,4,2,3,4,2,2,1,5
19,3011448,81314,도시형생활주택,서대문구,37.5842888,126.9151895,24,7,2,16.35208333,1,2,1,2,7,7,7,7,7,7,7,7,7,2,1,1,1
20,3000672,53002,다가구,강동구,37.5417911,127.1357011,11,28,6,45.59909091,1,1,4,3,4,7,7,7,7,7,7,7,7,1,1,1,2
21,3009336,53025,다가구,중랑구,37.6014695,127.1045849,13,29,6,34.97692308,2,1,4,3,7,7,1,7,7,7,7,7,7,2,1,2,0
22,3004787,53010,다가구,도봉구,37.6600045,127.0384734,7,24,9,40.86857143,2,1,4,2,4,6,5,3,1,1,3,5,6,1,2,2,0
23,3000498,53002,다가구,강동구,37.5417911,127.1357011,11,28,6,45.59909091,1,1,4,2,3,7,1,7,4,4,1,1,5,1,1,1,2
24,3010374,81307,도시형생활주택,구로구,37.4920335,126.8515023,27,7,7,16.4162963,1,2,2,3,7,7,7,7,7,4,7,7,7,2,1,1,1
25,3000189,53002,다가구,강동구,37.5417911,127.1357011,11,28,6,45.59909091,2,1,4,2,5,5,2,5,3,3,3,3,2,1,3,1,2
26,3011596,81317,도시형생활주택,성북구,37.61206249,127.0142798,19,8,1,15.91,1,2,4,2,3,4,4,5,2,2,4,6,6,1,1,1,1
27,3008878,53022,다가구,은평구,37.5984975,126.9233785,7,26,3,47.23142857,1,1,4,2,3,6,5,2,7,6,6,6,6,1,2,1,1
28,3004068,53010,다가구,도봉구,37.6600045,127.0384734,7,24,9,40.86857143,2,1,4,1,5,7,5,7,6,7,7,7,7,1,1,1,1
29,3009061,53022,다가구,은평구,37.5984975,126.9233785,7,26,3,47.23142857,2,1,2,3,4,7,7,7,7,1,7,7,6,1,1,1,1
31,3003167,53008,다가구,금천구,37.4688411,126.9023043,8,11,6,59.98,2,1,4,2,7,7,7,7,7,5,5,7,7,1,2,2,0
32,3008200,53020,다가구,영등포구,37.5138604,126.9125981,3,20,6,24.57,1,1,1,3,6,7,7,7,7,5,7,7,6,2,1,2,0
33,3001270,53003,다가구,강북구,37.6622213,127.013076,7,26,6,37.70428571,2,1,3,3,6,7,7,7,7,7,7,7,7,1,1,1,1
34,3010043,81306,도시형생활주택,광진구,37.56824736,127.0787894,25,7,7,18.096,1,2,4,2,5,7,1,1,1,3,1,1,1,2,2,2,0
35,3002295,53004,다가구,강서구,37.5480633,126.8520284,7,23,6,49.86428571,2,1,3,3,1,7,3,7,3,1,1,5,4,1,1,1,1
36,3003880,53009,다가구,노원구,37.6147277,127.0633085,5,23,6,46.452,2,1,1,1,5,7,5,5,6,7,5,6,6,1,1,1,2
37,3006886,53017,다가구,성북구,37.6076549,127.013154,20,20,5,22.564,2,1,4,2,4,7,7,7,5,2,7,7,7,1,2,2,0
39,3006329,53014,다가구,서대문구,37.5815224,126.922577,7,23,11,51.43285714,1,1,3,1,5,7,5,7,6,1,5,6,6,2,1,1,1
40,3001256,53003,다가구,강북구,37.6622213,127.013076,7,26,6,37.70428571,2,1,2,3,2,7,1,2,5,1,6,6,3,2,1,1,3
41,3001996,53004,다가구,강서구,37.5480633,126.8520284,7,23,6,49.86428571,1,1,4,3,5,7,7,7,7,1,7,7,7,1,1,2,0
42,3011213,81314,도시형생활주택,서대문구,37.5842888,126.9151895,24,7,2,16.35208333,2,2,4,3,6,5,5,4,5,2,4,5,6,1,2,1,1
43,3008384,53022,다가구,은평구,37.5984975,126.9233785,7,26,3,47.23142857,2,1,4,3,1,4,1,4,4,4,4,4,4,1,1,1,1
44,3007732,53018,다가구,송파구,37.5029523,127.1069487,8,24,6,37.49625,1,1,4,1,6,7,7,1,6,1,4,6,7,2,1,1,1
45,3006164,53014,다가구,서대문구,37.5815224,126.922577,7,23,11,51.43285714,2,1,4,2,7,7,7,7,5,5,5,7,7,1,2,2,0
46,3007043,53017,다가구,성북구,37.6076549,127.013154,20,20,5,22.564,2,1,2,1,5,5,5,7,7,7,7,7,7,1,1,1,3
47,3008455,53022,다가구,은평구,37.5984975,126.9233785,7,26,3,47.23142857,2,1,4,3,6,7,7,7,7,7,7,7,7,1,1,1,1
48,3009442,53025,다가구,중랑구,37.6014695,127.1045849,13,29,6,34.97692308,2,1,4,3,5,6,6,7,5,6,6,7,5,2,3,1,1
49,3009456,53025,다가구,중랑구,37.6014695,127.1045849,13,29,6,34.97692308,2,1,4,2,3,6,1,2,5,4,5,6,6,1,1,1,2
50,3003338,53008,다가구,금천구,37.4688411,126.9023043,8,11,6,59.98,2,1,1,3,5,5,5,4,5,5,5,5,5,2,2,1,1
51,3007560,53017,다가구,성북구,37.6076549,127.013154,20,20,5,22.564,2,1,1,3,6,6,7,7,6,6,6,6,4,1,3,1,1
52,3011143,81313,도시형생활주택,마포구,37.5542471,126.9086154,19,9,7,13.36526316,1,2,4,1,5,7,6,6,6,3,6,7,6,1,3,1,2
53,3005666,53011,다가구,동대문구,37.5711261,127.0317843,10,24,6,48.268,1,1,2,2,4,5,5,5,7,7,4,5,6,2,2,1,2
54,3002682,53005,다가구,관악구,37.4788365,126.9356998,7,27,6,31.44142857,2,1,2,2,3,7,5,7,7,7,4,6,5,2,2,1,1
55,3010188,81307,도시형생활주택,구로구,37.4920335,126.8515023,27,7,7,16.4162963,1,2,1,1,6,7,7,7,7,6,7,7,7,2,1,1,1
56,3005880,53012,다가구,동작구,37.4954356,126.9374484,8,24,10,61.27,2,1,2,2,2,7,4,7,7,2,6,6,4,1,1,1,1
57,3006006,53013,다가구,마포구,37.5544295,126.9024099,12,24,6,25.22583333,1,1,4,1,7,7,6,7,7,7,7,7,7,2,1,2,0
58,3007498,53017,다가구,성북구,37.6076549,127.013154,20,20,5,22.564,2,1,1,3,7,7,7,4,7,5,5,6,7,1,1,1,1
59,3005883,53012,다가구,동작구,37.4954356,126.9374484,8,24,10,61.27,1,1,2,3,6,7,7,7,6,1,6,7,6,1,1,1,1
60,3001333,53003,다가구,강북구,37.6622213,127.013076,7,26,6,37.70428571,2,1,4,3,4,7,6,5,6,5,5,6,6,1,3,1,1
61,3009080,53022,다가구,은평구,37.5984975,126.9233785,7,26,3,47.23142857,2,1,2,2,7,7,6,6,6,7,7,7,6,1,1,1,1
62,3009234,53025,다가구,중랑구,37.6014695,127.1045849,13,29,6,34.97692308,1,1,4,3,5,5,5,1,6,1,4,5,5,1,1,1,2
63,3008612,53022,다가구,은평구,37.5984975,126.9233785,7,26,3,47.23142857,2,1,4,2,7,7,6,7,7,1,7,6,6,1,1,1,1
64,3009083,53022,다가구,은평구,37.5984975,126.9233785,7,26,3,47.23142857,2,1,1,2,6,6,6,6,7,1,7,7,7,1,2,2,0
65,3000005,90161,도시형생활주택-희망하우징,은평구,37.6024,126.9293,23,5,4,11.55,1,3,1,1,2,2,4,7,7,4,3,4,4,2,2,1,2
66,3011537,81314,도시형생활주택,서대문구,37.5842888,126.9151895,24,7,2,16.35208333,1,2,1,3,7,7,7,7,7,7,4,7,6,2,1,1,3
67,3006877,53017,다가구,성북구,37.6076549,127.013154,20,20,5,22.564,1,1,2,2,5,7,7,7,7,7,5,5,5,1,3,1,5
68,3005010,53010,다가구,도봉구,37.6600045,127.0384734,7,24,9,40.86857143,2,1,4,1,7,7,7,7,7,7,7,7,7,2,3,2,0
69,3002890,53006,다가구,광진구,37.5396821,127.0664605,13,26,6,39.16153846,1,1,3,1,7,2,7,7,1,1,7,5,6,2,1,1,5
70,3007248,53017,다가구,성북구,37.6076549,127.013154,20,20,5,22.564,1,1,1,1,5,5,5,3,4,1,1,3,3,1,3,1,1
71,3002879,53006,다가구,광진구,37.5396821,127.0664605,13,26,6,39.16153846,1,1,4,1,7,7,5,7,5,3,5,5,5,1,3,1,1
72,3002400,53004,다가구,강서구,37.5480633,126.8520284,7,23,6,49.86428571,1,1,4,3,4,5,5,6,6,5,5,6,5,2,1,2,0
73,3009147,53023,다가구,종로구,37.6156481,126.9745559,10,25,6,40.341,2,1,2,1,1,7,1,1,7,5,1,1,1,1,1,1,2
74,3003034,53006,다가구,광진구,37.5396821,127.0664605,13,26,6,39.16153846,2,1,2,2,4,7,6,5,5,7,6,6,6,1,2,1,1
75,3003796,53009,다가구,노원구,37.6147277,127.0633085,5,23,6,46.452,2,1,4,2,4,6,4,7,7,4,4,5,6,1,2,1,2
76,3010667,81309,도시형생활주택,노원구,37.6321433,127.0581182,28,7,7,17.75857143,2,2,4,2,3,7,3,1,7,7,3,7,7,1,1,1,1
77,3005404,53011,다가구,동대문구,37.5711261,127.0317843,10,24,6,48.268,2,1,3,1,6,7,3,2,2,4,3,3,5,1,1,1,3
78,3007260,53017,다가구,성북구,37.6076549,127.013154,20,20,5,22.564,1,1,1,2,6,7,7,7,7,7,7,7,7,2,1,1,5
79,3001136,53003,다가구,강북구,37.6622213,127.013076,7,26,6,37.70428571,2,1,4,2,4,5,4,5,6,4,6,7,7,1,1,1,1
81,3000146,53002,다가구,강동구,37.5417911,127.1357011,11,28,6,45.59909091,2,1,4,3,4,7,4,5,1,4,1,4,3,1,1,1,1
82,3007443,53017,다가구,성북구,37.6076549,127.013154,20,20,5,22.564,1,1,2,1,4,7,5,7,5,7,5,6,6,1,1,1,1
83,3008339,53022,다가구,은평구,37.5984975,126.9233785,7,26,3,47.23142857,2,1,4,2,7,3,5,7,3,7,5,7,7,1,1,2,0
